Fecha Operación,NombrePlanta,TipoGeneracion
2003-08-15,INGENIO RISARALDA 1,Biomasa
1999-01-01,COGENERADOR PROENCA 1,Biomasa
1998-08-01,COGENERADOR BIOAISE 1,Biomasa
2024-02-11,AUTOG UNIBOL 1,Combustible fósil
2019-11-07,AUTOG ECOPETROL ORITO,Combustible fósil
2019-09-16,AGPE - ECOPETROL LA HORMIGA,Combustible fósil
2019-03-23,AUTOG FAMILIA,Combustible fósil
2018-07-25,AUTOG COCA-COLA FEMSA 1,Combustible fósil
2016-06-25,TEQUENDAMA BIOGAS 1,Combustible fósil
2016-04-26,AUTOG REFICAR 1,Combustible fósil
2016-03-20,AUTOG ARGOS YUMBO 1,Combustible fósil
2016-03-15,ARGOS CARTAGENA 1,Combustible fósil
2007-05-23,EL MORRO 1,Combustible fósil
2007-08-09,EL MORRO 2,Combustible fósil
2007-08-18,CIMARRON,Combustible fósil
1999-01-08,PAIPA 4,Combustible fósil
1998-02-05,MERILECTRICA 1,Combustible fósil
1997-08-11,TERMODORADA 1,Combustible fósil
1985-12-14,ZIPAEMG 5,Combustible fósil
1981-04-01,ZIPAEMG 4,Combustible fósil
1976-01-01,ZIPAEMG 3,Combustible fósil
1982-05-06,PAIPA 3,Combustible fósil
1975-01-01,PAIPA 2,Combustible fósil
1963-01-01,PAIPA 1,Combustible fósil
1983-08-08,GUAJIRA 1,Combustible fósil
1994-01-01,VALLE 1,Combustible fósil
1980-01-01,CARTAGENA 3,Combustible fósil
1980-01-01,CARTAGENA 2,Combustible fósil
1980-01-01,BARRANQUILLA 4,Combustible fósil
1980-01-01,BARRANQUILLA 3,Combustible fósil
2016-03-20,BARRANCA 3,Combustible fósil
2016-02-01,BARRANCA 2,Combustible fósil
2024-07-18,AGPE SUB LIBERTADOR,Solar
2023-12-30,PARQUE SOLAR ARENAL,Solar
2023-06-18,URUACO,Solar
2022-11-17,AGPE FERCH2,Solar
2022-03-03,HELIOS I,Solar
2020-09-30,PLANTA SOLAR BAYUNCA I,Solar
2020-11-30,TRINA-VATIA BSLIII,Solar
2020-09-10,TRINA-VATIA BSLI,Solar
2017-08-30,LAS PALMAS,Hidráulica
2016-05-20,EL COCUYO,Hidráulica
2016-04-29,LA FRISOLERA,Hidráulica
2014-03-31,EL POPAL,Hidráulica
2012-12-15,SAN FRANCISCO (PUTUMAYO),Hidráulica
2015-11-16,EL QUIMBO,Hidráulica
2012-06-14,HIDROMONTAÑITAS,Hidráulica
2011-01-08,SANTIAGO,Hidráulica
